Manufacturer, Model, Capacity_TB, Speed (RPM), Price
Western Digital,Paper,6 TB,5400 RPM,445.92 RON
Western Digital,Inside,4 TB,5400 RPM,459.85 RON
ADATA,Radio,10 TB,5400 RPM,982.54 RON
Corsair,Health,5 TB,7200 RPM,377.6 RON
Corsair,Realize,2 TB,5400 RPM,252.99 RON
Western Digital,Ground,5 TB,5400 RPM,528.92 RON
Seagate,Large,8 TB,5400 RPM,964.34 RON
Seagate,Money,8 TB,5400 RPM,919.78 RON
ADATA,Dog,3 TB,5400 RPM,723.81 RON
Samsung,Despite,1 TB,5400 RPM,361.58 RON
ADATA,Listen,3 TB,7200 RPM,884.31 RON
Seagate,Catch,6 TB,7200 RPM,556.43 RON
Western Digital,Law,3 TB,5400 RPM,266.68 RON
Samsung,Gas,2 TB,7200 RPM,484.32 RON
Crucial,Force,5 TB,5400 RPM,715.55 RON
Samsung,Fear,10 TB,7200 RPM,522.01 RON
Seagate,Fast,10 TB,5400 RPM,958.65 RON
Western Digital,War,1 TB,5400 RPM,434.07 RON
Western Digital,A,2 TB,5400 RPM,254.25 RON
ADATA,Leave,2 TB,5400 RPM,432.81 RON
ADATA,Dream,2 TB,7200 RPM,611.11 RON
Seagate,Pm,6 TB,5400 RPM,499.39 RON
ADATA,Receive,3 TB,7200 RPM,266.65 RON
Western Digital,Price,8 TB,5400 RPM,311.11 RON
Western Digital,Adult,6 TB,7200 RPM,812.28 RON
ADATA,Those,5 TB,5400 RPM,830.82 RON
Samsung,Yourself,2 TB,7200 RPM,492.96 RON
Crucial,Trade,5 TB,5400 RPM,306.2 RON
Seagate,Like,8 TB,7200 RPM,528.86 RON
Corsair,Character,4 TB,5400 RPM,403.34 RON
ADATA,Husband,8 TB,5400 RPM,885.92 RON
Western Digital,Meet,4 TB,5400 RPM,639.34 RON
Samsung,Up,10 TB,5400 RPM,866.01 RON
Crucial,Unit,10 TB,7200 RPM,262.05 RON
Western Digital,Although,3 TB,5400 RPM,289.86 RON
ADATA,Continue,4 TB,7200 RPM,397.88 RON
Samsung,Reduce,5 TB,5400 RPM,489.29 RON
ADATA,Democrat,4 TB,5400 RPM,414.33 RON
Corsair,Administration,6 TB,7200 RPM,815.26 RON
Samsung,Floor,10 TB,5400 RPM,947.39 RON
Western Digital,Yard,2 TB,7200 RPM,738.27 RON
Western Digital,Game,4 TB,5400 RPM,429.4 RON
Western Digital,Season,10 TB,5400 RPM,702.41 RON
Western Digital,Information,10 TB,7200 RPM,933.09 RON
Corsair,Few,1 TB,7200 RPM,825.72 RON
Samsung,Threat,8 TB,5400 RPM,763.18 RON
Corsair,Its,10 TB,5400 RPM,260.36 RON
Crucial,A,1 TB,7200 RPM,855.69 RON
Seagate,Glass,4 TB,5400 RPM,532.64 RON
Western Digital,Billion,5 TB,7200 RPM,754.22 RON
Corsair,At,4 TB,5400 RPM,693.86 RON
Samsung,Coach,8 TB,5400 RPM,512.31 RON
Corsair,Most,10 TB,5400 RPM,660.72 RON
Western Digital,Something,6 TB,7200 RPM,615.41 RON
Crucial,Push,1 TB,7200 RPM,508.92 RON
Corsair,Level,5 TB,5400 RPM,623.12 RON
Seagate,Against,5 TB,7200 RPM,825.26 RON
Samsung,Since,5 TB,5400 RPM,402.67 RON
Crucial,You,6 TB,5400 RPM,519.37 RON
Western Digital,Budget,3 TB,7200 RPM,273.02 RON
ADATA,People,1 TB,7200 RPM,626.99 RON
Western Digital,Top,10 TB,7200 RPM,923.89 RON
Samsung,Range,10 TB,5400 RPM,609.13 RON
Crucial,Doctor,1 TB,5400 RPM,639.66 RON
Corsair,Author,5 TB,7200 RPM,479.02 RON
Western Digital,Skin,5 TB,7200 RPM,375.57 RON
Samsung,Person,8 TB,5400 RPM,378.08 RON
Seagate,Western,1 TB,5400 RPM,875.11 RON
ADATA,Take,8 TB,5400 RPM,778.59 RON
Crucial,Rich,2 TB,7200 RPM,554.65 RON
Corsair,Executive,10 TB,5400 RPM,417.12 RON
ADATA,Night,3 TB,7200 RPM,641.63 RON
Seagate,Everyone,10 TB,5400 RPM,683.87 RON
ADATA,Bank,6 TB,5400 RPM,718.23 RON
Crucial,Exist,10 TB,7200 RPM,504.59 RON
Samsung,Enter,8 TB,5400 RPM,738.81 RON
Samsung,Fill,6 TB,5400 RPM,558.43 RON
ADATA,Each,4 TB,7200 RPM,603.52 RON
ADATA,Structure,8 TB,5400 RPM,613.86 RON
Western Digital,Follow,3 TB,5400 RPM,254.93 RON
Crucial,Attorney,4 TB,5400 RPM,889.97 RON
ADATA,Half,6 TB,5400 RPM,765.22 RON
Corsair,Finish,4 TB,7200 RPM,240.59 RON
Seagate,Investment,2 TB,7200 RPM,537.77 RON
Samsung,Away,8 TB,7200 RPM,641.68 RON
Corsair,Thousand,3 TB,5400 RPM,823.85 RON
Corsair,Attack,1 TB,5400 RPM,834.02 RON
Corsair,Claim,5 TB,5400 RPM,346.58 RON
ADATA,Interview,8 TB,7200 RPM,475.08 RON
Crucial,Social,2 TB,5400 RPM,705.71 RON
Seagate,Role,1 TB,7200 RPM,384.16 RON
ADATA,Off,2 TB,7200 RPM,735.34 RON
Corsair,Trial,1 TB,7200 RPM,535.86 RON
Corsair,First,5 TB,5400 RPM,967.17 RON
Crucial,Must,5 TB,7200 RPM,976.83 RON
Samsung,International,4 TB,5400 RPM,802.98 RON
Samsung,Force,1 TB,5400 RPM,273.33 RON
Western Digital,Door,6 TB,7200 RPM,554.84 RON
Corsair,Officer,1 TB,5400 RPM,263.22 RON
Seagate,Financial,3 TB,7200 RPM,542.78 RON
Seagate,Affect,8 TB,7200 RPM,516.53 RON
Seagate,Remember,3 TB,5400 RPM,427.91 RON
Western Digital,Prepare,3 TB,5400 RPM,885.44 RON
Crucial,Treatment,5 TB,7200 RPM,367.72 RON
Seagate,Front,3 TB,7200 RPM,384.95 RON
Crucial,Anything,6 TB,5400 RPM,216.93 RON
Crucial,A,2 TB,5400 RPM,574.11 RON
Samsung,Wear,8 TB,7200 RPM,619.21 RON
Western Digital,Decide,2 TB,5400 RPM,897.74 RON
Seagate,Rest,2 TB,5400 RPM,731.46 RON
Western Digital,Tend,6 TB,5400 RPM,705.9 RON
Samsung,Door,1 TB,7200 RPM,374.2 RON
ADATA,Major,1 TB,7200 RPM,337.68 RON
Seagate,Rule,6 TB,7200 RPM,545.9 RON
ADATA,Fire,10 TB,5400 RPM,456.98 RON
Western Digital,Year,10 TB,5400 RPM,849.79 RON
Crucial,Style,2 TB,5400 RPM,971.33 RON
Western Digital,Wrong,3 TB,5400 RPM,328.85 RON
Corsair,Inside,2 TB,5400 RPM,215.79 RON
Corsair,Vote,4 TB,7200 RPM,897.28 RON
Crucial,South,10 TB,5400 RPM,704.2 RON
ADATA,Organization,10 TB,5400 RPM,753.67 RON
ADATA,Each,10 TB,7200 RPM,867.67 RON
Crucial,Stop,2 TB,5400 RPM,207.01 RON
ADATA,World,10 TB,5400 RPM,782.13 RON
Corsair,Notice,3 TB,7200 RPM,231.24 RON
Samsung,Ability,6 TB,7200 RPM,299.0 RON
Seagate,Interest,3 TB,7200 RPM,286.8 RON
Seagate,Business,4 TB,5400 RPM,355.05 RON
Western Digital,Fight,5 TB,7200 RPM,551.77 RON
Samsung,Thank,10 TB,5400 RPM,297.91 RON
Samsung,Subject,1 TB,5400 RPM,860.79 RON
Western Digital,A,8 TB,5400 RPM,517.61 RON
Western Digital,Step,6 TB,7200 RPM,663.49 RON
ADATA,Him,4 TB,7200 RPM,830.25 RON
ADATA,End,10 TB,5400 RPM,779.81 RON
Western Digital,Increase,6 TB,5400 RPM,746.41 RON
Western Digital,Movement,8 TB,5400 RPM,568.7 RON
Western Digital,Girl,8 TB,5400 RPM,829.62 RON
Corsair,Southern,5 TB,7200 RPM,643.06 RON
Crucial,Better,6 TB,5400 RPM,446.73 RON
Crucial,Move,1 TB,7200 RPM,553.28 RON
Samsung,Network,2 TB,7200 RPM,529.86 RON
Corsair,Forget,8 TB,7200 RPM,461.64 RON
Samsung,Hear,6 TB,7200 RPM,643.37 RON
Seagate,Final,2 TB,5400 RPM,524.32 RON
Seagate,Middle,4 TB,7200 RPM,911.59 RON
Crucial,Compare,5 TB,7200 RPM,323.72 RON
Seagate,Table,10 TB,7200 RPM,984.26 RON
ADATA,Listen,6 TB,5400 RPM,281.23 RON
Corsair,Scene,6 TB,5400 RPM,599.49 RON
Samsung,Record,6 TB,7200 RPM,524.58 RON
Western Digital,Wonder,10 TB,7200 RPM,465.99 RON
ADATA,Clearly,10 TB,7200 RPM,235.43 RON
ADATA,Foot,8 TB,5400 RPM,275.96 RON
Crucial,Party,6 TB,7200 RPM,429.99 RON
Samsung,Inside,4 TB,5400 RPM,309.52 RON
ADATA,Raise,10 TB,5400 RPM,594.86 RON
Corsair,Institution,5 TB,5400 RPM,458.05 RON
Samsung,Standard,8 TB,5400 RPM,621.14 RON
Seagate,Near,6 TB,5400 RPM,374.13 RON
Corsair,Behavior,1 TB,5400 RPM,972.07 RON
Crucial,Unit,3 TB,7200 RPM,826.32 RON
Crucial,Avoid,2 TB,5400 RPM,599.69 RON
Seagate,Do,4 TB,5400 RPM,936.48 RON
ADATA,Class,8 TB,7200 RPM,783.36 RON
Seagate,Force,10 TB,5400 RPM,824.69 RON
Seagate,Serve,10 TB,5400 RPM,745.03 RON
Samsung,Develop,6 TB,5400 RPM,282.66 RON
Seagate,He,2 TB,7200 RPM,481.98 RON
Samsung,Then,3 TB,5400 RPM,241.12 RON
ADATA,New,10 TB,5400 RPM,591.71 RON
Seagate,Pick,2 TB,5400 RPM,623.63 RON
Seagate,Rather,4 TB,5400 RPM,512.89 RON
Seagate,Million,4 TB,7200 RPM,910.11 RON
Crucial,Candidate,3 TB,7200 RPM,616.52 RON
Corsair,Together,3 TB,5400 RPM,224.59 RON
Seagate,Life,1 TB,5400 RPM,462.49 RON
Samsung,Member,6 TB,7200 RPM,653.18 RON
Western Digital,Trade,1 TB,5400 RPM,732.92 RON
ADATA,Address,6 TB,5400 RPM,833.46 RON
Samsung,Sea,1 TB,7200 RPM,596.27 RON
Crucial,White,10 TB,5400 RPM,847.84 RON
ADATA,Car,5 TB,5400 RPM,789.83 RON
Crucial,Wind,8 TB,7200 RPM,355.53 RON
ADATA,Standard,8 TB,7200 RPM,758.51 RON
Western Digital,Nice,10 TB,5400 RPM,947.28 RON
Samsung,Receive,1 TB,7200 RPM,882.45 RON
Western Digital,Cost,3 TB,7200 RPM,621.03 RON
Crucial,Town,3 TB,7200 RPM,939.86 RON
Western Digital,Challenge,10 TB,5400 RPM,528.26 RON
Western Digital,Respond,6 TB,5400 RPM,200.6 RON
Corsair,Sign,2 TB,7200 RPM,921.78 RON
Samsung,Reveal,6 TB,7200 RPM,822.9 RON
Corsair,Report,3 TB,5400 RPM,453.33 RON
ADATA,Increase,3 TB,7200 RPM,898.18 RON
Corsair,Mrs,4 TB,5400 RPM,545.95 RON
ADATA,Table,5 TB,5400 RPM,362.89 RON
ADATA,If,4 TB,5400 RPM,701.1 RON
Corsair,Door,10 TB,7200 RPM,678.67 RON
Seagate,Mrs,5 TB,5400 RPM,265.78 RON
ADATA,Forward,5 TB,5400 RPM,755.11 RON
Samsung,Seat,3 TB,7200 RPM,502.46 RON
ADATA,Hand,6 TB,5400 RPM,834.48 RON
Crucial,College,2 TB,7200 RPM,958.76 RON
Corsair,Physical,5 TB,5400 RPM,426.16 RON
Western Digital,Buy,2 TB,5400 RPM,959.99 RON
Samsung,Doctor,8 TB,7200 RPM,298.51 RON
Western Digital,Various,8 TB,5400 RPM,795.43 RON
Corsair,Wonder,8 TB,5400 RPM,495.79 RON
Corsair,Across,2 TB,5400 RPM,847.74 RON
Samsung,Evidence,3 TB,7200 RPM,281.93 RON
Seagate,Hospital,8 TB,7200 RPM,928.14 RON
Western Digital,Most,6 TB,5400 RPM,321.99 RON
Samsung,Thus,2 TB,5400 RPM,764.66 RON
Seagate,Contain,5 TB,7200 RPM,588.03 RON
Seagate,Fire,6 TB,5400 RPM,501.31 RON
