Manufacturer, Model, Power (W), Certification, Price
AQIRYS,Face,850 W,80 Plus Silver,829.1 RON
Corsair,Order,750 W,80 Plus Silver,569.07 RON
Corsair,Available,1200 W,80 Plus Gold,697.89 RON
Thermaltake,Husband,550 W,80 Plus Bronze,678.7 RON
Cooler Master,Three,750 W,80 Plus Bronze,923.03 RON
Seasonic,Account,1000 W,80 Plus Gold,407.11 RON
Thermaltake,Catch,750 W,80 Plus Silver,994.43 RON
Thermaltake,Month,750 W,80 Plus Gold,994.09 RON
Cooler Master,From,2000 W,80 Plus Gold,255.25 RON
be quiet!,Theory,2000 W,80 Plus Silver,347.28 RON
GIGABYTE,Majority,850 W,80 Plus Bronze,797.3 RON
Cooler Master,Away,750 W,80 Plus Silver,510.41 RON
Seasonic,Senior,500 W,80 Plus Titanium,159.47 RON
GIGABYTE,Easy,2000 W,80 Plus Silver,558.44 RON
Seasonic,Town,750 W,80 Plus Gold,995.54 RON
GIGABYTE,World,2000 W,80 Plus Silver,398.86 RON
Corsair,Building,550 W,80 Plus Titanium,260.27 RON
AQIRYS,Process,1000 W,80 Plus Titanium,173.27 RON
Corsair,Work,550 W,80 Plus Platinum,970.22 RON
GIGABYTE,Officer,850 W,80 Plus Silver,578.68 RON
Thermaltake,Medical,1200 W,80 Plus Bronze,474.28 RON
GIGABYTE,Computer,1200 W,80 Plus Bronze,401.35 RON
Corsair,His,1000 W,80 Plus Bronze,873.28 RON
Seasonic,Ever,500 W,80 Plus Silver,596.13 RON
be quiet!,Girl,850 W,80 Plus Silver,619.22 RON
Cooler Master,Career,1500 W,80 Plus Platinum,428.15 RON
be quiet!,Court,1200 W,80 Plus Platinum,675.8 RON
Cooler Master,Box,600 W,80 Plus Bronze,328.42 RON
Thermaltake,Now,1000 W,80 Plus Silver,347.59 RON
Thermaltake,Whole,500 W,80 Plus Gold,571.58 RON
Cooler Master,Run,1500 W,80 Plus Silver,411.59 RON
AQIRYS,Movie,1500 W,80 Plus Platinum,195.12 RON
Cooler Master,Appear,2000 W,80 Plus Gold,127.04 RON
Corsair,Consumer,2000 W,80 Plus Gold,199.1 RON
be quiet!,Effort,550 W,80 Plus Titanium,786.48 RON
Thermaltake,Student,750 W,80 Plus Platinum,679.09 RON
Seasonic,Factor,750 W,80 Plus Titanium,678.73 RON
AQIRYS,Character,1000 W,80 Plus Gold,518.55 RON
Thermaltake,Loss,1500 W,80 Plus Bronze,676.87 RON
AQIRYS,Wind,1200 W,80 Plus Titanium,624.9 RON
Corsair,Agency,850 W,80 Plus Silver,493.07 RON
Thermaltake,Tend,1200 W,80 Plus Silver,179.56 RON
Cooler Master,Pick,2000 W,80 Plus Titanium,949.1 RON
Thermaltake,Possible,750 W,80 Plus Bronze,630.3 RON
be quiet!,Claim,500 W,80 Plus Titanium,782.39 RON
GIGABYTE,Letter,850 W,80 Plus Bronze,611.29 RON
Seasonic,Three,1200 W,80 Plus Silver,841.54 RON
Corsair,Us,750 W,80 Plus Titanium,379.7 RON
be quiet!,Professional,600 W,80 Plus Silver,415.43 RON
Cooler Master,Other,1200 W,80 Plus Silver,529.95 RON
Corsair,Become,650 W,80 Plus Bronze,362.18 RON
AQIRYS,Friend,550 W,80 Plus Platinum,168.7 RON
Cooler Master,Consumer,500 W,80 Plus Silver,987.73 RON
GIGABYTE,Bring,500 W,80 Plus Titanium,628.14 RON
be quiet!,Decide,750 W,80 Plus Titanium,465.05 RON
Thermaltake,Kitchen,850 W,80 Plus Silver,862.62 RON
Seasonic,Team,1500 W,80 Plus Silver,577.68 RON
AQIRYS,Attorney,1200 W,80 Plus Platinum,433.76 RON
be quiet!,Analysis,1500 W,80 Plus Platinum,416.42 RON
Seasonic,Home,1000 W,80 Plus Gold,556.53 RON
Cooler Master,Natural,600 W,80 Plus Titanium,938.2 RON
Corsair,Direction,550 W,80 Plus Titanium,381.48 RON
Corsair,White,750 W,80 Plus Bronze,431.61 RON
Cooler Master,Account,500 W,80 Plus Platinum,311.68 RON
Corsair,Nor,500 W,80 Plus Platinum,695.32 RON
