Manufacturer, Model, Cores, Frequency (GHz), Price
Intel,Character,12,4.88 GHz,2360.31 RON
Intel,Day,16,2.59 GHz,2733.24 RON
AMD,From,8,2.11 GHz,2173.09 RON
Intel,Without,12,3.74 GHz,1474.72 RON
Intel,Staff,8,3.26 GHz,1945.0 RON
Intel,Return,6,4.89 GHz,1764.3 RON
Intel,Environmental,12,3.12 GHz,640.22 RON
Intel,Computer,12,4.98 GHz,662.8 RON
Intel,Place,8,4.94 GHz,2844.84 RON
Intel,Common,16,4.95 GHz,1689.73 RON
Intel,Least,6,2.88 GHz,487.59 RON
Intel,Allow,16,4.1 GHz,483.77 RON
AMD,Culture,8,4.48 GHz,542.45 RON
Intel,Argue,4,3.09 GHz,2045.46 RON
AMD,Project,24,4.61 GHz,2764.84 RON
Intel,Body,16,2.83 GHz,1427.92 RON
Intel,Manager,12,2.7 GHz,1347.91 RON
Intel,Security,16,3.02 GHz,660.44 RON
AMD,Production,24,3.72 GHz,645.59 RON
Intel,Trip,6,3.22 GHz,1647.62 RON
AMD,They,4,4.1 GHz,1830.82 RON
Intel,Tough,8,4.87 GHz,2593.5 RON
Intel,Message,4,2.66 GHz,1462.08 RON
AMD,Kid,8,4.15 GHz,664.86 RON
Intel,Lead,24,4.48 GHz,927.02 RON
Intel,See,16,4.01 GHz,1830.88 RON
AMD,Feeling,24,2.94 GHz,2194.65 RON
AMD,Across,6,3.65 GHz,455.08 RON
AMD,Light,8,3.71 GHz,2234.77 RON
AMD,Challenge,12,4.6 GHz,1797.2 RON
Intel,Reflect,4,4.63 GHz,2783.91 RON
Intel,Parent,8,3.06 GHz,2378.6 RON
Intel,Stop,12,3.67 GHz,2707.15 RON
AMD,What,4,3.97 GHz,524.82 RON
AMD,Identify,12,4.83 GHz,2444.63 RON
AMD,Big,8,3.73 GHz,2035.54 RON
Intel,College,6,4.22 GHz,491.04 RON
AMD,Similar,6,2.65 GHz,1832.86 RON
Intel,Sport,6,2.02 GHz,431.64 RON
AMD,Type,4,4.14 GHz,701.94 RON
AMD,Once,6,3.26 GHz,1579.52 RON
AMD,Common,6,3.06 GHz,2502.06 RON
Intel,Type,12,3.4 GHz,1500.52 RON
Intel,Born,4,4.48 GHz,1607.02 RON
AMD,Beat,16,4.11 GHz,942.55 RON
AMD,Describe,6,3.64 GHz,1132.6 RON
AMD,From,8,4.17 GHz,544.29 RON
Intel,Structure,8,2.96 GHz,2944.67 RON
AMD,Least,8,2.84 GHz,751.43 RON
AMD,Old,8,3.12 GHz,1373.71 RON
AMD,Require,4,4.8 GHz,2026.19 RON
Intel,Crime,24,4.4 GHz,1469.3 RON
AMD,Family,24,2.0 GHz,2583.62 RON
AMD,Face,24,4.05 GHz,696.87 RON
Intel,Man,16,2.64 GHz,2084.52 RON
AMD,Operation,6,4.92 GHz,1223.34 RON
Intel,Current,6,2.14 GHz,625.97 RON
Intel,Collection,8,4.08 GHz,2238.59 RON
AMD,Apply,24,4.1 GHz,1704.21 RON
Intel,Town,16,3.69 GHz,2480.67 RON
AMD,Yet,6,2.91 GHz,2508.92 RON
Intel,Evidence,6,4.0 GHz,410.58 RON
AMD,Some,16,3.39 GHz,2621.13 RON
AMD,Write,16,3.81 GHz,1160.78 RON
Intel,Behavior,24,4.85 GHz,2075.07 RON
AMD,Model,6,3.08 GHz,1025.23 RON
Intel,Challenge,12,3.51 GHz,2027.45 RON
AMD,Young,8,4.65 GHz,1291.8 RON
AMD,Yeah,16,3.07 GHz,2298.49 RON
Intel,Happen,4,3.93 GHz,1898.75 RON
AMD,Language,8,3.62 GHz,731.13 RON
AMD,Player,8,2.45 GHz,2793.8 RON
Intel,Model,12,2.14 GHz,499.11 RON
AMD,Bar,8,4.99 GHz,2593.76 RON
Intel,Very,6,3.58 GHz,1953.11 RON
Intel,Face,12,3.31 GHz,1620.69 RON
Intel,Life,24,3.02 GHz,526.71 RON
AMD,Group,8,3.42 GHz,761.98 RON
Intel,Peace,12,4.41 GHz,933.19 RON
Intel,Stay,24,4.14 GHz,2885.93 RON
AMD,Hit,8,4.57 GHz,1814.04 RON
AMD,Education,6,4.52 GHz,1309.62 RON
Intel,Voice,6,2.35 GHz,541.49 RON
AMD,Health,12,3.35 GHz,740.18 RON
Intel,Particular,16,2.28 GHz,1018.12 RON
AMD,Reveal,12,4.65 GHz,2159.49 RON
AMD,Condition,16,2.22 GHz,469.15 RON
AMD,Rest,4,3.33 GHz,632.4 RON
Intel,What,24,2.52 GHz,560.62 RON
AMD,Stay,8,2.43 GHz,1682.74 RON
Intel,Thank,4,2.87 GHz,2374.66 RON
Intel,Door,4,2.15 GHz,406.77 RON
AMD,Tonight,12,4.3 GHz,428.83 RON
AMD,Hair,6,3.94 GHz,2192.15 RON
