Manufacturer, Model, Capacity (GB), Speed (MHz), Type, Price
Crucial,Tonight,16 GB,2133 MHz,DDR4,264.9 RON
Kingston,Across,8 GB,3200 MHz,DDR4,1087.22 RON
HyperX,Community,4 GB,3600 MHz,DDR4,1201.94 RON
Corsair,Between,8 GB,5200 MHz,DDR5,642.7 RON
HyperX,Deal,64 GB,5200 MHz,DDR5,472.22 RON
HyperX,Life,64 GB,5200 MHz,DDR5,388.22 RON
ADATA,Drug,64 GB,5600 MHz,DDR5,991.44 RON
Corsair,However,32 GB,2666 MHz,DDR4,1032.38 RON
Crucial,Environmental,16 GB,3600 MHz,DDR4,710.51 RON
Patriot,Order,32 GB,5200 MHz,DDR5,1458.51 RON
Kingston,Hot,8 GB,5200 MHz,DDR5,1289.86 RON
HyperX,Occur,8 GB,3000 MHz,DDR4,519.73 RON
G.Skill,Certainly,64 GB,3000 MHz,DDR4,620.33 RON
Kingston,Body,8 GB,6000 MHz,DDR5,353.78 RON
G.Skill,Task,8 GB,6000 MHz,DDR5,642.58 RON
ADATA,Create,16 GB,5600 MHz,DDR5,1360.91 RON
Corsair,Fall,32 GB,2133 MHz,DDR4,394.07 RON
Kingston,Head,8 GB,3600 MHz,DDR4,1000.35 RON
HyperX,Amount,64 GB,5600 MHz,DDR5,637.86 RON
Crucial,Answer,4 GB,5600 MHz,DDR5,926.22 RON
Crucial,Most,32 GB,5200 MHz,DDR5,822.44 RON
G.Skill,Maintain,32 GB,3200 MHz,DDR4,1042.28 RON
HyperX,Onto,4 GB,3200 MHz,DDR4,1158.45 RON
Corsair,Home,32 GB,5200 MHz,DDR5,92.0 RON
Corsair,Both,8 GB,2133 MHz,DDR4,490.95 RON
G.Skill,Hotel,16 GB,3600 MHz,DDR4,307.54 RON
Kingston,Officer,8 GB,5200 MHz,DDR5,138.44 RON
G.Skill,Whether,64 GB,5200 MHz,DDR5,1466.24 RON
Kingston,Show,16 GB,5600 MHz,DDR5,581.97 RON
HyperX,Garden,32 GB,2666 MHz,DDR4,109.41 RON
G.Skill,Common,32 GB,2133 MHz,DDR4,915.37 RON
Patriot,Agreement,8 GB,6000 MHz,DDR5,811.43 RON
G.Skill,Society,4 GB,2666 MHz,DDR4,1105.45 RON
Patriot,Politics,4 GB,5200 MHz,DDR5,444.8 RON
G.Skill,Beyond,64 GB,3200 MHz,DDR4,550.18 RON
Patriot,Treatment,64 GB,6000 MHz,DDR5,1035.25 RON
Patriot,Which,64 GB,3200 MHz,DDR4,1069.02 RON
G.Skill,Attention,32 GB,5600 MHz,DDR5,1183.54 RON
ADATA,Then,4 GB,2400 MHz,DDR4,1451.53 RON
Patriot,Eye,32 GB,5600 MHz,DDR5,1432.51 RON
Crucial,Training,64 GB,5600 MHz,DDR5,403.81 RON
Kingston,Over,32 GB,3200 MHz,DDR4,891.76 RON
ADATA,Concern,32 GB,5200 MHz,DDR5,944.27 RON
Kingston,Paper,64 GB,6000 MHz,DDR5,1141.66 RON
Kingston,Style,8 GB,3000 MHz,DDR4,1202.56 RON
ADATA,Red,16 GB,5200 MHz,DDR5,1394.02 RON
Corsair,Full,32 GB,3600 MHz,DDR4,228.17 RON
Corsair,Some,32 GB,3200 MHz,DDR4,694.68 RON
Patriot,Town,16 GB,2666 MHz,DDR4,1403.91 RON
HyperX,Price,32 GB,2666 MHz,DDR4,929.81 RON
ADATA,Executive,8 GB,2400 MHz,DDR4,761.06 RON
HyperX,Travel,8 GB,5600 MHz,DDR5,1337.94 RON
Corsair,Nice,16 GB,3600 MHz,DDR4,1208.75 RON
Crucial,According,16 GB,6000 MHz,DDR5,464.97 RON
Kingston,When,4 GB,2133 MHz,DDR4,247.09 RON
G.Skill,Product,8 GB,3200 MHz,DDR4,1376.68 RON
HyperX,Actually,16 GB,2666 MHz,DDR4,1141.27 RON
Crucial,Majority,32 GB,3200 MHz,DDR4,626.3 RON
ADATA,Indicate,8 GB,3600 MHz,DDR4,411.35 RON
G.Skill,Realize,16 GB,5600 MHz,DDR5,547.53 RON
Crucial,Win,8 GB,5600 MHz,DDR5,106.76 RON
HyperX,Risk,64 GB,6000 MHz,DDR5,1325.5 RON
Patriot,Effect,32 GB,3000 MHz,DDR4,879.25 RON
Kingston,Down,4 GB,2666 MHz,DDR4,1359.96 RON
Corsair,Most,32 GB,5600 MHz,DDR5,168.15 RON
HyperX,Series,4 GB,3600 MHz,DDR4,907.74 RON
G.Skill,Result,32 GB,2666 MHz,DDR4,1271.98 RON
HyperX,Project,8 GB,6000 MHz,DDR5,596.07 RON
HyperX,Today,32 GB,5600 MHz,DDR5,1024.5 RON
G.Skill,Budget,64 GB,5600 MHz,DDR5,431.46 RON
Patriot,Above,8 GB,2666 MHz,DDR4,688.65 RON
Crucial,Pretty,16 GB,2400 MHz,DDR4,1331.22 RON
Corsair,Deep,4 GB,3000 MHz,DDR4,540.15 RON
Patriot,Newspaper,32 GB,3200 MHz,DDR4,728.23 RON
ADATA,Foreign,64 GB,2400 MHz,DDR4,489.88 RON
Patriot,Medical,64 GB,5600 MHz,DDR5,148.45 RON
ADATA,Offer,8 GB,6000 MHz,DDR5,380.48 RON
Patriot,Matter,16 GB,3000 MHz,DDR4,840.05 RON
HyperX,Need,4 GB,5600 MHz,DDR5,1115.02 RON
Crucial,System,64 GB,3600 MHz,DDR4,530.7 RON
Corsair,Reality,64 GB,3600 MHz,DDR4,527.05 RON
G.Skill,Lead,4 GB,2666 MHz,DDR4,432.45 RON
Crucial,Of,4 GB,3600 MHz,DDR4,1251.87 RON
HyperX,Drug,4 GB,5200 MHz,DDR5,697.86 RON
ADATA,Box,8 GB,3200 MHz,DDR4,561.07 RON
Crucial,All,16 GB,6000 MHz,DDR5,1464.56 RON
Patriot,Manager,64 GB,3600 MHz,DDR4,369.69 RON
G.Skill,Agent,16 GB,3000 MHz,DDR4,785.76 RON
G.Skill,President,8 GB,6000 MHz,DDR5,576.69 RON
Corsair,Rest,16 GB,3000 MHz,DDR4,1430.94 RON
ADATA,True,4 GB,3200 MHz,DDR4,1092.08 RON
HyperX,Budget,8 GB,2133 MHz,DDR4,1353.22 RON
