Manufacturer, Model, Capacity_GB, Write Speed (MB/s), Read Speed (MB/s), Price
Crucial,Lawyer,256 GB,Between 1500 - 2000 MB/s,Between 1500 - 2000 MB/s,136.97 RON
Samsung,Key,500 GB,Between 1500 - 2000 MB/s,Between 1500 - 2000 MB/s,940.76 RON
Western Digital,Back,120 GB,Between 1500 - 2000 MB/s,Between 3000 - 4000 MB/s,666.05 RON
Corsair,Right,256 GB,Over 5000 MB/s,Between 3000 - 4000 MB/s,1350.27 RON
Crucial,Model,120 GB,Between 3000 - 4000 MB/s,Between 2000 - 2500 MB/s,622.63 RON
Seagate,Term,256 GB,Between 2000 - 2500 MB/s,Between 2500 - 3000 MB/s,1346.69 RON
Western Digital,Nothing,500 GB,Between 3000 - 4000 MB/s,Over 5000 MB/s,982.31 RON
Corsair,Ten,240 GB,Over 5000 MB/s,Between 2500 - 3000 MB/s,602.72 RON
Crucial,Sometimes,240 GB,Between 2000 - 2500 MB/s,Over 5000 MB/s,225.21 RON
ADATA,Agreement,240 GB,Over 5000 MB/s,Over 5000 MB/s,639.15 RON
Samsung,Analysis,500 GB,Between 2500 - 3000 MB/s,Between 1500 - 2000 MB/s,728.8 RON
Corsair,Road,120 GB,Between 1500 - 2000 MB/s,Between 3000 - 4000 MB/s,1367.72 RON
Corsair,That,120 GB,Between 1500 - 2000 MB/s,Between 3000 - 4000 MB/s,511.33 RON
Crucial,Choice,120 GB,Between 1500 - 2000 MB/s,Over 5000 MB/s,528.03 RON
Crucial,Soon,500 GB,Between 3000 - 4000 MB/s,Between 2000 - 2500 MB/s,863.56 RON
Corsair,Body,1000 GB,Between 1500 - 2000 MB/s,Between 2000 - 2500 MB/s,618.34 RON
Crucial,Onto,240 GB,Between 3000 - 4000 MB/s,Between 1500 - 2000 MB/s,764.22 RON
Corsair,Address,120 GB,Between 1500 - 2000 MB/s,Between 1500 - 2000 MB/s,381.44 RON
Samsung,Pay,256 GB,Over 5000 MB/s,Over 5000 MB/s,253.05 RON
Corsair,Matter,240 GB,Between 3000 - 4000 MB/s,Between 2500 - 3000 MB/s,93.69 RON
ADATA,Whole,128 GB,Between 2500 - 3000 MB/s,Between 2500 - 3000 MB/s,253.66 RON
Seagate,Adult,120 GB,Between 1500 - 2000 MB/s,Over 5000 MB/s,1180.49 RON
