Manufacturer, Model, Memory (GB), Memory BUS (bit), Price
Zotac,Risk 4800,4 GB,128 bit,7262.88 RON
Zotac,Unit 4700,16 GB,256 bit,5688.3 RON
Asus,Investment 3500,12 GB,192 bit,3559.29 RON
Zotac,Leave 4400,16 GB,128 bit,5961.86 RON
Asus,Employee 4800,16 GB,192 bit,8088.59 RON
MSI,Kind 3800,12 GB,192 bit,5142.62 RON
Gigabyte,Evidence 4100,4 GB,192 bit,7521.64 RON
Zotac,Want 4300,4 GB,192 bit,3581.27 RON
MSI,Tonight 5100,16 GB,128 bit,9298.76 RON
MSI,Building 4800,24 GB,256 bit,9177.91 RON
Palit,Clearly 3700,8 GB,256 bit,2256.59 RON
MSI,Many 4100,24 GB,192 bit,9713.4 RON
Palit,Number 4300,8 GB,192 bit,4625.71 RON
Palit,Discover 3500,16 GB,256 bit,9010.62 RON
Palit,Less 3700,8 GB,192 bit,7848.59 RON
Asus,Care 5300,24 GB,128 bit,1194.02 RON
MSI,Security 3700,6 GB,128 bit,2592.48 RON
MSI,Boy 4600,4 GB,192 bit,9732.12 RON
Zotac,Mention 5300,8 GB,256 bit,6765.55 RON
Zotac,Short 5500,12 GB,256 bit,6819.82 RON
Zotac,Board 3300,8 GB,128 bit,4749.03 RON
Gigabyte,Field 5400,6 GB,128 bit,8591.75 RON
Asus,Member 5200,8 GB,128 bit,7526.77 RON
MSI,Minute 3400,24 GB,256 bit,6852.94 RON
Gigabyte,Federal 5400,6 GB,256 bit,5323.78 RON
Palit,Notice 3800,24 GB,128 bit,9963.83 RON
Gigabyte,People 5000,8 GB,128 bit,4615.75 RON
MSI,Budget 4900,8 GB,256 bit,6572.52 RON
Asus,Hit 3900,24 GB,256 bit,1183.11 RON
MSI,Order 4300,6 GB,192 bit,7846.07 RON
Zotac,Catch 4900,16 GB,192 bit,8309.33 RON
Palit,Focus 5400,24 GB,192 bit,7097.34 RON
Asus,Mention 4100,6 GB,128 bit,5399.53 RON
MSI,Apply 3800,24 GB,256 bit,9918.98 RON
Palit,Policy 5500,24 GB,128 bit,3000.21 RON
Asus,Enough 3300,16 GB,256 bit,1535.06 RON
Palit,Medical 4500,12 GB,192 bit,2664.41 RON
MSI,Democrat 3700,6 GB,128 bit,7110.75 RON
Palit,Study 4500,8 GB,128 bit,9264.13 RON
Gigabyte,Call 4100,6 GB,192 bit,6697.4 RON
Zotac,Kind 3600,8 GB,256 bit,9376.57 RON
Zotac,Set 4300,24 GB,256 bit,2233.8 RON
Asus,Give 5400,6 GB,192 bit,8213.28 RON
Asus,Even 3800,12 GB,192 bit,6602.62 RON
MSI,Whatever 4800,4 GB,192 bit,4757.97 RON
Asus,Difficult 4800,8 GB,256 bit,9011.86 RON
MSI,Trade 3300,24 GB,192 bit,9170.86 RON
Palit,Kid 4800,8 GB,128 bit,5110.11 RON
Palit,North 3400,12 GB,256 bit,3014.03 RON
Palit,Need 4600,8 GB,256 bit,6394.66 RON
Palit,Member 4500,12 GB,128 bit,1663.05 RON
Gigabyte,Question 3400,16 GB,192 bit,4669.19 RON
Asus,Body 3300,6 GB,128 bit,7134.86 RON
Palit,Put 4600,4 GB,128 bit,2151.87 RON
MSI,Building 5400,4 GB,128 bit,3104.2 RON
Gigabyte,Down 4200,6 GB,192 bit,6694.47 RON
Asus,Well 4700,16 GB,256 bit,4228.68 RON
Gigabyte,Local 4900,4 GB,256 bit,3247.26 RON
Asus,Them 3600,8 GB,256 bit,4533.98 RON
Palit,High 4300,8 GB,256 bit,1800.04 RON
Palit,Husband 4000,6 GB,256 bit,4118.12 RON
Asus,Foreign 3500,16 GB,128 bit,4600.16 RON
MSI,Trial 3700,8 GB,128 bit,5772.85 RON
MSI,Third 5400,6 GB,256 bit,8504.82 RON
Palit,Occur 5000,6 GB,128 bit,3789.39 RON
Asus,Former 3300,4 GB,256 bit,3628.59 RON
Gigabyte,Water 4900,16 GB,192 bit,7005.54 RON
